Skill_Internasional_Kaggle,Kode_Unit_SKKNI,Judul_Unit_SKKNI,Kecocokan
python,,,Belum Dipetakan
java,,,Belum Dipetakan
javascript,,,Belum Dipetakan
c,,,Belum Dipetakan
ruby,,,Belum Dipetakan
php,,,Belum Dipetakan
go,,,Belum Dipetakan
rust,,,Belum Dipetakan
typescript,,,Belum Dipetakan
kotlin,,,Belum Dipetakan
swift,,,Belum Dipetakan
scala,,,Belum Dipetakan
perl,,,Belum Dipetakan
shell scripting,,,Belum Dipetakan
r,,,Belum Dipetakan
html,,,Belum Dipetakan
css,,,Belum Dipetakan
react,,,Belum Dipetakan
vue js,,,Belum Dipetakan
angular,,,Belum Dipetakan
node js,,,Belum Dipetakan
django,,,Belum Dipetakan
flask,,,Belum Dipetakan
rest api,,,Belum Dipetakan
graphql,,,Belum Dipetakan
responsive design,,,Belum Dipetakan
web accessibility,,,Belum Dipetakan
seo,,,Belum Dipetakan
android,,,Belum Dipetakan
ios,,,Belum Dipetakan
react native,,,Belum Dipetakan
flutter,,,Belum Dipetakan
mobile ui ux,,,Belum Dipetakan
mobile security,,,Belum Dipetakan
app testing,,,Belum Dipetakan
aws,,,Belum Dipetakan
azure,,,Belum Dipetakan
gcp,,,Belum Dipetakan
docker,,,Belum Dipetakan
kubernetes,,,Belum Dipetakan
ci cd,,,Belum Dipetakan
jenkins,,,Belum Dipetakan
terraform,,,Belum Dipetakan
cloudformation,,,Belum Dipetakan
ansible,,,Belum Dipetakan
microservices,,,Belum Dipetakan
serverless,,,Belum Dipetakan
machine learning,,,Belum Dipetakan
deep learning,,,Belum Dipetakan
tensorflow,,,Belum Dipetakan
pytorch,,,Belum Dipetakan
scikit learn,,,Belum Dipetakan
data analysis,,,Belum Dipetakan
statistics,,,Belum Dipetakan
pandas,,,Belum Dipetakan
numpy,,,Belum Dipetakan
sql,,,Belum Dipetakan
tableau,,,Belum Dipetakan
power bi,,,Belum Dipetakan
jupyter,,,Belum Dipetakan
mysql,,,Belum Dipetakan
postgresql,,,Belum Dipetakan
mongodb,,,Belum Dipetakan
oracle,,,Belum Dipetakan
cassandra,,,Belum Dipetakan
redis,,,Belum Dipetakan
database design,,,Belum Dipetakan
query optimization,,,Belum Dipetakan
nosql,,,Belum Dipetakan
leadership,,,Belum Dipetakan
communication,,,Belum Dipetakan
problem solving,,,Belum Dipetakan
critical thinking,,,Belum Dipetakan
teamwork,,,Belum Dipetakan
time management,,,Belum Dipetakan
adaptability,,,Belum Dipetakan
creativity,,,Belum Dipetakan
negotiation,,,Belum Dipetakan
mentoring,,,Belum Dipetakan
project management,,,Belum Dipetakan
strategic planning,,,Belum Dipetakan
decision making,,,Belum Dipetakan
financial analysis,,,Belum Dipetakan
business development,,,Belum Dipetakan
market research,,,Belum Dipetakan
business acumen,,,Belum Dipetakan
sales,,,Belum Dipetakan
marketing,,,Belum Dipetakan
budget management,,,Belum Dipetakan
p l management,,,Belum Dipetakan
user experience,,,Belum Dipetakan
user interface,,,Belum Dipetakan
graphic design,,,Belum Dipetakan
web design,,,Belum Dipetakan
adobe creative suite,,,Belum Dipetakan
figma,,,Belum Dipetakan
wireframing,,,Belum Dipetakan
prototyping,,,Belum Dipetakan
penetration testing,,,Belum Dipetakan
network security,,,Belum Dipetakan
encryption,,,Belum Dipetakan
firewalls,,,Belum Dipetakan
security protocols,,,Belum Dipetakan
risk assessment,,,Belum Dipetakan
compliance,,,Belum Dipetakan
security architecture,,,Belum Dipetakan
agile,,,Belum Dipetakan
scrum,,,Belum Dipetakan
kanban,,,Belum Dipetakan
jira,,,Belum Dipetakan
confluence,,,Belum Dipetakan
documentation,,,Belum Dipetakan
technical writing,,,Belum Dipetakan
presentation skills,,,Belum Dipetakan
