Kode Unit,Judul Unit,Elemen Kompetensi,Jabatan
C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengenali industri 4.0,Manager
C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Mengidentifikasi core element industri 4.0,Manager
C.29TDI01.001.1,Merumuskan Aspirasi Transformasi Industri 4.0,Membuat peta pemangku kepentingan,Manager
C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan business model analysis dan business process,Manager
C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Melakukan gap analysis,Manager
C.29TDI01.002.1,Merumuskan Peluang Penerapan Transformasi Industri 4.0,Menentukan peluang peningkatan capaian kinerja,Manager
C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Menentukan target transformasi industri 4.0,Manager
C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0, Membuat business process dan roadmap,Manager
C.29TDI01.003.1,Merencanakan Transformasi Industri 4.0,Membuat strategi penerapan roadmap,Manager
C.29TDI01.004.1,Melakukan Pilot Project Industri 4.0,Menyiapkan proyek,Manager
C.29TDI01.004.1,Melakukan Pilot Project Industri 4.0,Mengimplementasikan solusi,Manager
C.29TDI01.005.1,Mengevaluasi Implementasi Solusi Transformasi,Memantau progres,Manager
C.29TDI01.005.1,Mengevaluasi Implementasi Solusi Transformasi,Menganalisis hasil,Manager
C.29TDI01.006.1,Mengevaluasi Dampak Penerapan Transformasi, Mengukur dampak bisnis,Manager
C.29TDI01.006.1,Mengevaluasi Dampak Penerapan Transformasi,Menyusun laporan akhir,Manager
C.29TDI02.001.1,Merencanakan Rekayasa Kasus Bisnis Industri 4.0,dentifikasi kebutuhan teknis,Engineer
C.29TDI02.002.1,Mengimplementasikan Kasus Bisnis,Eksekusi teknis,Engineer
C.29TDI02.003.1,Melakukan Internalisasi Solusi Kasus Bisnis,Edukasi pengguna,Engineer
C.29TDI03.001.1,Mengelola Smart Maintenance,Pengaturan sistem perawatan,Maintainer
C.29TDI03.002.1,Menggunakan Digital Assistance,Operasional bantuan digital,Maintainer
C.29TDI03.003.1,Melakukan Predictive Maintenance,Analisis data kondisi mesin,Maintainer
J.62KAM00.001.2,Mengklasifikasikan Informasi yang Bersifat Rahasia,Membuat kategori klasifikasi informasi,Cyber security
J.62KAM00.001.2,Mengklasifikasikan Informasi yang Bersifat Rahasia,Mendata informasi yang bersifat rahasia,Cyber security
J.62KAM00.002.1,Melaksanakan Pengamanan Informasi yang Bersifat Rahasia,Menentukan kebijakan kriptografi,Cyber security
J.62KAM00.002.1,Melaksanakan Pengamanan Informasi yang Bersifat Rahasia,Menentukan metode enkripsi data,Cyber security
J.62KAM00.009.1,Melaksanakan Autentikasi dalam Upaya Mencegah Pemalsuan Informasi,Melakukan validasi dalam upaya mencegah pemalsuan informasi,Cyber security
J.62KAM00.009.1,Melaksanakan Autentikasi dalam Upaya Mencegah Pemalsuan Informasi,Mendokumentasikan hasil Autentikasi untuk validasi informasi,Cyber security
J.62KAM00.013.2,Menyusun Rencana Pelaksanaan Pelindungan Fisik Keamanan Informasi,Mengidentifikasi keberadaan entitas pada area pengamanan fisik,Cyber security
J.62KAM00.013.2,Menyusun Rencana Pelaksanaan Pelindungan Fisik Keamanan Informasi,Menentukan rencana pelaksanaan pelindungan fisik Keamanan Informasi,Cyber security
J.62KAM00.014.2,Memetakan Profil Sumber Daya Manusia Keamanan Informasi,Menentukan profil SDM sesuai dengan profil risiko Keamanan Informasi organisasi,Cyber security
J.62KAM00.014.2,Memetakan Profil Sumber Daya Manusia Keamanan Informasi,Menyusun pembagian peran sesuai profil SDM,Cyber security
J.62KAM00.015.1,Menyusun Dokumen Skrining Personel Keamanan Informasi,Menentukan kriteria skrining personel Keamanan Informasi,Cyber security
J.62KAM00.015.1,Menyusun Dokumen Skrining Personel Keamanan Informasi,Merancang instrumen skrining personel Keamanan Informasi,Cyber security
J.62KAM00.003.2,Melaksanakan Pengamanan Integritas Informasi,Menentukan tingkat kepentingan informasi,Cyber security
J.62KAM00.003.2,Melaksanakan Pengamanan Integritas Informasi,Melaksanakan pengamanan Integritas informasi,Cyber security
J.62KAM00.004.2,Melaksanakan Validasi Integritas Informasi,Mengidentifikasi ancaman terhadap Integritas informasi,Cyber security
J.62KAM00.004.2,Melaksanakan Validasi Integritas Informasi,Mengidentifikasi metode validasi Integritas informasi,Cyber security
J.62KAM00.004.2,Melaksanakan Validasi Integritas Informasi,Mendokumentasikan hasil validasi Integritas informasi,Cyber security
J.62KAM00.005.1,Melaksanakan Keberlangsungan Keamanan Informasi,Menentukan kebutuhan keberlangsungan Keamanan Informasi,Cyber security
J.62KAM00.005.1,Melaksanakan Keberlangsungan Keamanan Informasi,Melaksanakan uji coba keberlangsungan Keamanan Informasi,Cyber security
J.62KAM00.007.1,Menetapkan Metode Autentikasi,Mengidentifikasi kebutuhan metode Autentikasi,Cyber security
J.62KAM00.007.1,Menetapkan Metode Autentikasi, Menentukan metode Autentikasi,Cyber security
J.62KAM00.010.1,Menentukan Aset Teknologi Informasi yang Dikontrol,Melakukan pencatatan Aset Teknologi Informasi,Cyber security
J.62KAM00.010.1,Menentukan Aset Teknologi Informasi yang Dikontrol,Menerapkan kategori di setiap aset penting,Cyber security
J.62KAM00.011.2,Melaksanakan Pengontrolan Akses Pengguna yang Berwenang,Mengidentifikasi hak akses pengguna,Cyber security
J.62KAM00.011.2,Melaksanakan Pengontrolan Akses Pengguna yang Berwenang,Melakukan pengontrolan akses pengguna,Cyber security
M.70SDM01.017.2,Melakukan Proses Rekrutmen ,Menyiapkan program rekrutmen ,Manajemen SDM
M.70SDM01.017.2,Melakukan Proses Rekrutmen ,Melaksanakan program rekrutmen ,Manajemen SDM
M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menentukan komponen upah dan non upah ,Manajemen SDM
M.70SDM01.023.2,Menyusun Sistem Remunerasi ,Menyusun struktur dan skala upah ,Manajemen SDM
M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Menyiapkan pelaksanaan penilaian kinerja individu ,Manajemen SDM
M.70SDM01.029.2,Mengelola Proses Penilaian Kinerja Individu ,Melakukan kompilasi hasil penilaian kinerja individu ,Manajemen SDM
M.70SDM01.035.2,Merancang Model dan Kamus Kompetensi ,Menetapkan model kompetensi organisasi ,Manajemen SDM
M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Menetapkan profil posisi jabatan kunci ,Manajemen SDM
M.70SDM01.037.2,Menyusun Kelompok Pekerja Bertalenta (Talent Pool) ,Mengusulkan kandidat pekerja bertalenta ,Manajemen SDM
M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Mengkompilasi ketentuan administrasi penerapan kebijakan MSDM ,Manajemen SDM
M.70SDM01.059.2,Melakukan Administrasi Penerapan Kebijakan MSDM ,Melaksanakan administrasi kebijakan MSDM ,Manajemen SDM
M.74MAB02.003.1,Melakukan Warming Up atas Unit Alat Berat,Menyiapkan pelaksanaan warming up,Mekanik
M.74MAB02.008.1,Melakukan Periodic Maintenance Clinic (PMC) Dump Truck,Menyiapkan pelaksanaan PMC Dump Truck,Mekanik
M.74MAB02.009.1,Melakukan PMC pada Wheel Loader,Mengukur performance Hydraulic System,Mekanik
M.74MAB02.022.1,Melakukan Penggantian Unit Axle,Menyiapkan penggantian Axle,Mekanik
M.74MAB02.036.1,Melakukan Overhaul Suspension Dump Truck,Mengembalikan kondisi performance Suspension,Mekanik
M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Menyiapkan pelaksanaan PMC Soil Stabilizer,Mekanik
M.74MAB02.011.1,Melakukan PMC pada Soil Stabilizer,Memastikan performance Engine,Mekanik
M.74MAB02.012.1,Melakukan PMC pada Mobile Crane,Memastikan kondisi Tyre dan Rim,Mekanik
M.74MAB02.013.1,Melakukan PMC pada Forklift,Memastikan level dan spesifikasi oli,Mekanik
M.74MAB02.015.1,Melakukan PMC pada Traktor Pertanian,Menyiapkan pelaksanaan PMC Traktor,Mekanik
M.74MAB02.018.1,Melakukan Overhaul Engine,Melakukan bongkar pasang (dis-assy/assy) Engine,Mekanik
M.69PTA00.001.3,Memproses Entri Jurnal,Memeriksa dokumen sumber dan pendukung,Teknisi Akuntansi
M.69PTA00.001.3,Memproses Entri Jurnal,Mencatat dokumen sumber ke dalam jurnal,Teknisi Akuntansi
M.69PTA00.001.3,Memproses Entri Jurnal,Mengarsipkan dokumen sumber dan pendukung,Teknisi Akuntansi
M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Mempersiapkan verifikasi atau rekonsiliasi atas pengelolaan akun,Teknisi Akuntansi
M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan pembukuan mutasi akun,Teknisi Akuntansi
M.69PTA00.002.1,Mengelola Akun Dalam Laporan Keuangan,Melakukan verifikasi atau rekonsiliasi data akun,Teknisi Akuntansi
M.69PTA00.003.3,Memproses Buku Besar,Mempersiapkan pengelolaan buku besar,Teknisi Akuntansi
M.69PTA00.003.3,Memproses Buku Besar,Membukukan jumlah angka dari jurnal ke buku besar,Teknisi Akuntansi
M.69PTA00.003.3,Memproses Buku Besar,Menyusun daftar saldo akun dalam buku besar,Teknisi Akuntansi
M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Mencatat jurnal penyesuaian,Teknisi Akuntansi
M.69PTA00.004.3,Menyusun Laporan Keuangan Entitas Tunggal untuk Skala UMKM,Menyajikan laporan keuangan,Teknisi Akuntansi
M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Menyusun data setup awal dan saldo awal,Teknisi Akuntansi
M.69PTA00.005.3,Menyusun Laporan Keuangan UMKM dengan Aplikasi Komputer,Melakukan entri transaksi,Teknisi Akuntansi
M.69PTA00.006.1,Menyusun Laporan Keuangan Entitas Tunggal Keseluruhan Skala Usaha,Menyajikan laporan keuangan,Teknisi Akuntansi
M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Memberikan dukungan teknis administrasi dokumen pra-perikatan,Teknisi Akuntansi
M.69PTA00.016.1,Memberikan Dukungan Penilaian Risiko,Melakukan prosedur analitis awal,Teknisi Akuntansi
M.69PTA00.013.1,Melakukan Pemenuhan Pajak Orang Pribadi,Menyiapkan data perpajakan,Teknisi Akuntansi
M.69PTA00.018.1,Dukungan Penyusunan Laporan Auditor Independen,Menyiapkan administrasi laporan,Teknisi Akuntansi
J.62GIM00.001.2,Membuat Ide Konsep Game (Game Concept),Menentukan bentuk produk game,Game Designer
J.62GIM00.011.2,Membuat Desain Teknik Game (Game Technical Design),Menerjemahkan konsep desain teknik game,Game Designer
J.62GIM00.011.2,Membuat Desain Teknik Game (Game Technical Design),Melakukan uji coba dan pengukuran kesuksesan,Game Designer
J.62GIM00.013.2,Membuat Desain Narasi Game (Game Narrative Design),Membuat komponen desain narasi game,Game Designer
J.62GIM00.020.2,Membuat Dokumen Perancangan Artistik (ADD),Menentukan konsep artistik utama,Game Artist
J.62GIM00.033.2,Melakukan Integrasi Objek Statis ke Game Engine,Mempersiapkan aset statis,Game Artist
J.62GIM00.041.1,Menerapkan Standar Kualitas Pemrograman Game,Mengimplementasikan standar kualitas,Game Programmer
J.62GIM00.041.1,Menerapkan Standar Kualitas Pemrograman Game,Mendokumentasikan hasil penerapan standar,Game Programmer
J.62GIM00.044.1,Mengimplementasikan User Interface,Menyiapkan aset UI,Game Programmer
J.62GIM00.045.1,Mengintegrasikan Backend Service,Menghubungkan game ke server,Game Programmer
J.62GIM00.046.2,Melakukan Proses Game Debugging,Mengidentifikasi bug,Game Programmer
J.62GIM00.047.2,Mengimplementasikan Optimasi Kinerja Game,Melakukan profiling kinerja,Game Programmer
J.62GIM00.048.1,Menganalisis Kualitas Teknis Game,Melakukan pengujian teknis,Quality Assurance
J.62GIM00.049.1,Menganalisis Risiko Teknis Game,Mengidentifikasi potensi risiko teknis,Technical Lead
J.62GIM00.050.1,Melakukan Pembaharuan Video Game,Menyiapkan konten pembaruan,LiveOps/DevOps
J.62GIM00.051.2,Melakukan Analisis Pasar (Market Research),Mengidentifikasi tren pasar,Product Manager
J.62GIM00.052.2,Membuat Perencanaan Bisnis,Menyusun model bisnis,Product Manager
J.62GIM00.054.2,Menuliskan Spesifikasi atau User Story,Mendetailkan fitur game,Product Manager
J.62GIM00.059.2,Melakukan Analisis Data Performa Bisnis,Menganalisis data metrik,Product Manager
J.62GIM00.060.2,Mengarahkan Visi dan Identitas Game,Menyusun visi dan identitas,Game Director
J.62GIM00.021.2,Membuat Konsep Seni (Concept Art),Menentukan komponen konsep seni,Game Artist
J.62GIM00.022.2,Membuat Aset Visual 2D,Mempersiapkan pembuatan aset 2D,Game Artist
J.62GIM00.023.2,Membuat Model Objek 3D,Membangun geometri objek 3D,Game Artist
J.62GIM00.024.2,Membuat Tekstur Objek 3D,Melakukan pemetaan UV (Unwrap),Game Artist
J.62GIM00.025.2,Membuat Sistem Tulang (Rigging),Menentukan struktur tulang,Game Artist
J.62GIM00.026.2,Membuat Animasi Objek,Menggerakkan objek/karakter,Game Artist
J.62GIM00.027.2,Membuat Efek Visual (VFX),Merancang sistem partikel,Game Artist
J.62GIM00.028.2,Membuat Desain Antarmuka (UI),Merancang tata letak UI,Game Artist
J.62GIM00.029.2,Membuat Level Environment,Menyusun komposisi level,Game Artist
J.62GIM00.030.2,Membuat Desain Audio Game,Memproduksi aset suara,Game Artist
J.62GIM00.034.2,Melakukan Integrasi Animasi,Mengatur Animation State Machine,Programmer
J.62GIM00.035.2,Melakukan Integrasi Audio,Mengimplementasikan audio engine,Programmer
J.62GIM00.036.2,Melakukan Integrasi UI,Membangun fungsionalitas menu,Programmer
J.62GIM00.038.2,Mengimplementasikan AI,Membangun perilaku NPC,Programmer
J.62GIM00.039.2,Mengimplementasikan Multiplayer,Membangun sinkronisasi data,Programmer
J.62GIM00.040.2,Mengimplementasikan Monetisasi,Integrasi layanan IAP,Programmer
J.62GIM00.042.1,Membuat Struktur Data,Memilih tipe data yang efisien,Programmer
J.62GIM00.043.1,Menerapkan Mekanika Game,Membangun sistem interaksi,Programmer
J.62GIM00.046.2,Melakukan Debugging,Mengidentifikasi kesalahan kode,Programmer
J.62GIM00.047.2,Mengimplementasikan Optimasi,Melakukan profiling kinerja,Programmer
J.62GIM00.002.2,Membuat Mekanika Game,Menentukan aturan permainan,Game Designer
J.62GIM00.003.2,Membuat Desain Level,Merancang alur permainan,Game Designer
J.62GIM00.004.2,Membuat Sistem Ekonomi Game,Merancang struktur ekonomi,Game Designer
J.62GIM00.055.1,Membuat Rencana Pengujian,Menyusun strategi QA,QA Tester
J.62GIM00.056.1,Melakukan Pengujian Fungsional,Mengeksekusi test case,QA Tester
J.62GIM00.053.1,Mengelola Jadwal Produksi,Membuat timeline proyek,Project Manager
J.62GIM00.058.1,Mengelola Tim Pengembang,Melakukan koordinasi tim,Project Manager
J.62GIM00.054.2,Menuliskan Spesifikasi,Membuat User Story,Product Manager
J.62GIM00.049.1,Menganalisis Risiko Teknis,Pemetaan potensi kendala,Technical Lead
J.62GIM00.061.1,Mengelola Komunitas,Membangun keterlibatan pemain,Community Manager
H.52LOG00.001.2,Menyusun Rencana Operasional Logistik,Mengidentifikasi kebutuhan operasional logistik,Operasional Logistik
H.52LOG00.001.2,Menyusun Rencana Operasional Logistik,Menetapkan jadwal operasional,Operasional Logistik
H.52LOG00.002.2,Melaksanakan Penerimaan Barang,Menyiapkan dokumen penerimaan,Gudang (Warehouse)
H.52LOG00.002.2,Melaksanakan Penerimaan Barang,Melakukan verifikasi fisik barang,Gudang (Warehouse)
H.52LOG00.003.2,Melaksanakan Penyimpanan Barang,Menentukan lokasi penyimpanan,Gudang (Warehouse)
H.52LOG00.004.2,Melaksanakan Administrasi Pergudangan,Melakukan pencatatan data barang,Gudang (Warehouse)
H.52LOG00.005.2,Melakukan Stok Opname,Menyiapkan pelaksanaan stok opname,Gudang (Warehouse)
H.52LOG00.005.2,Melakukan Stok Opname,Mencocokkan saldo fisik dengan saldo buku,Gudang (Warehouse)
H.52LOG00.006.2,Melaksanakan Pengiriman Barang,Menyiapkan barang untuk dikirim,Pengiriman (Shipping)
H.52LOG00.007.2,Mengelola Transportasi Logistik,Memilih moda transportasi,Pengiriman (Shipping)
H.52LOG00.008.2,Melakukan Pembelian Barang/Jasa,Menentukan spesifikasi kebutuhan,Pengadaan (Procurement)
H.52LOG00.008.2,Melakukan Pembelian Barang/Jasa,Melaksanakan proses pembelian,Pengadaan (Procurement)
H.52LOG00.012.2,Mengelola Biaya Logistik,Memantau pengeluaran biaya,Manajemen Logistik
H.52LOG00.015.2,Mengelola Hubungan dengan Pelanggan,Menangani keluhan pelanggan,Manajemen Logistik
H.52LOG00.018.2,Menentukan Tingkat Persediaan,Menghitung parameter stok,Inventory Control
H.52LOG00.020.2,Menerapkan K3 di Lingkungan Kerja,Mengidentifikasi potensi bahaya,K3 Logistik
H.52LOG00.022.2,Mengelola Pusat Distribusi,Mengoptimalkan alur barang,Distribusi
H.52LOG00.025.2,Mengurus Dokumen Ekspor-Impor,Menyiapkan dokumen pabean,Ekspor Impor
H.52LOG00.028.2,Mengoperasikan Sistem Informasi Logistik,Memasukkan data ke dalam aplikasi,Teknologi Logistik
H.52LOG00.030.2,Melakukan Kolaborasi Rantai Pasok,Membangun kemitraan dengan pemasok,Manajemen Rantai Pasok
H.52LOG00.018.2,Menentukan Tingkat Persediaan,Menganalisis kebutuhan persediaan,Inventory Control
H.52LOG00.018.2,Menentukan Tingkat Persediaan,Menghitung parameter stok optimal,Inventory Control
H.52LOG00.004.2,Melaksanakan Administrasi Pergudangan,Memproses dokumen pengeluaran barang,Admin Logistik
H.52LOG00.022.2,Mengelola Pusat Distribusi,Merencanakan tata letak gudang,Warehouse Supervisor
H.52LOG00.022.2,Mengelola Pusat Distribusi,Mengawasi produktivitas kerja,Warehouse Supervisor
H.52LOG00.031.2,Melakukan Analisis Rantai Pasok,Mengidentifikasi aliran nilai (Value Stream),Logistik Spesialis
H.52LOG00.031.2,Melakukan Analisis Rantai Pasok,Memberikan rekomendasi perbaikan,Logistik Spesialis
H.52LOG00.009.2,Melakukan Evaluasi Kinerja Pemasok,Menentukan kriteria evaluasi,Purchasing Officer
H.52LOG00.009.2,Melakukan Evaluasi Kinerja Pemasok,Menyusun laporan hasil evaluasi,Purchasing Officer
H.52LOG00.019.2,Menangani Barang Berbahaya (B3),Mengidentifikasi jenis barang B3,Operator Logistik
H.52LOG00.019.2,Menangani Barang Berbahaya (B3),Melakukan penyimpanan barang B3,Operator Logistik
H.52LOG00.040.2,Menyusun Kebijakan Manajemen Rantai Pasok,Menetapkan visi dan misi logistik,Logistik Manager
H.52LOG00.040.2,Menyusun Kebijakan Manajemen Rantai Pasok,Mensosialisasikan kebijakan,Logistik Manager
H.52LOG00.041.2,Mengelola Perencanaan Permintaan,Mengumpulkan data permintaan,Planner Logistik
H.52LOG00.041.2,Mengelola Perencanaan Permintaan,Membuat proyeksi permintaan (Forecast),Planner Logistik
H.52LOG00.007.2,Mengelola Transportasi Logistik,Melakukan penjadwalan armada,Dispatcher
H.52LOG00.007.2,Mengelola Transportasi Logistik,Melakukan pemantauan perjalanan,Dispatcher
H.52LOG00.011.2,Melaksanakan Penyerahan Barang kepada Pelanggan,Melakukan konfirmasi kedatangan,Kurir/Driver
H.52LOG00.011.2,Melaksanakan Penyerahan Barang kepada Pelanggan,Menyelesaikan administrasi penyerahan,Kurir/Driver
H.52LOG00.035.2,Mengelola Pengembalian Barang (Reverse Logistics),Memproses otorisasi pengembalian,Analyst Logistik
